"bbref_id","age2021","PA1","PA2","PA3","PA4","bats","Team2021","POS_2021","wOPS_2020","wOPS_2019","wOPS_2018","wOPS_2017","wwRCplus_2020","wwRCplus_2019","wwRCplus_2018","wwRCplus_2017","LAVG","RAVG","avg_ops","reliability","D_regressed_ops","age_adjustment","park_factor","avg_wRCplus","wRC_reliability","D_regressed_wRCplus","BETTER_THAN_MARCEL_OPS","MARCEL_OPS"
"arenano01",29,201,662,673,680,"R","STL","3B",0.738,0.962,0.935,0.959,76,130,133,130,94,97,0.861916666666667,0.56140350877193,0.799672514619883,0,97,108.25,0.56140350877193,104.631578947368,0.794346900584795,0.799672514619883
"baezja01",27,235,561,645,508,"R","CHC","SS",0.599,0.847,0.881,0.796,57,112,131,98,98,100,0.752166666666667,0.545626656569481,0.737550990786318,0.012,100,93.8333333333333,0.545626656569481,96.6353022844882,0.741556437965417,0.746401602675754
"barneau01",30,104,242,238,262,"R","LAD","C",0.667,0.633,0.619,0.895,92,67,77,142,98,98,0.643666666666667,0.327354260089686,0.695011958146487,-0.003,98,79.9166666666667,0.327354260089686,93.4256352765321,0.676530567847534,0.692926922272048
"barnhtu01",29,110,364,522,423,"B","CIN","C",0.679,0.708,0.699,0.75,76,78,88,90,104,101,0.693666666666667,0.453551912568306,0.708056466302368,0,103.16,79.6666666666667,0.453551912568306,90.7777777777778,0.705963758469945,0.708056466302368
"bellico01",24,243,661,632,548,"L","LAD","OF",0.789,1.035,0.814,0.933,112,161,120,138,98,98,0.87725,0.56140350877193,0.808280701754386,0.03,98,130.333333333333,0.56140350877193,117.029239766082,0.848725936842105,0.832529122807018
"belljo02",27,223,613,583,620,"B","WSN","1B",0.669,0.936,0.768,0.8,76,135,111,108,107,104,0.78275,0.541809851088202,0.753998568155785,0.012,106.16,104.416666666667,0.541809851088202,102.392993508973,0.789994295396564,0.763046550973654
"beltbr01",32,179,616,456,451,"L","SFG","1B",1.015,0.742,0.756,0.823,171,98,107,119,95,96,0.85925,0.510403916768666,0.791073745410037,-0.009,95,130.666666666667,0.510403916768666,115.652386780906,0.786894666623317,0.783954081701346
"bettsmo01",27,246,706,614,712,"R","LAD","OF",0.927,0.915,1.078,0.803,147,135,185,107,98,98,0.96075,0.566160520607375,0.856303145336226,0.012,98,152.5,0.566160520607375,129.723427331887,0.900714730607375,0.86657878308026
"blackch02",33,247,634,696,725,"L","COL","OF",0.804,0.94,0.86,0.1,97,127,117,142,113,116,0.863333333333333,0.567879006121714,0.801395990877446,-0.012,113,112,0.567879006121714,106.814548073461,0.853057838746849,0.791779238986916
"bogaexa01",27,225,698,580,635,"R","BOS","SS",0.867,0.939,0.883,0.746,129,141,133,95,106,104,0.895,0.556048834628191,0.817308546059933,0.012,104,134,0.556048834628191,118.905660377358,0.870882724528302,0.827116248612653
"bradlja02",30,217,567,535,541,"L","MIL","OF",0.814,0.738,0.717,0.726,118,89,90,89,102,97,0.764416666666667,0.523620484319174,0.743257476511843,-0.003,102,101.333333333333,0.523620484319174,100.698160645759,0.749443332453024,0.741027704082308
"brantmi02",33,187,637,631,375,"L","HOU","OF",0.84,0.875,0.832,0.801,131,132,125,109,94,100,0.849666666666667,0.548022598870056,0.791060263653484,-0.012,94,129.833333333333,0.548022598870056,116.34934086629,0.781663565122411,0.781567540489642
"bregmal01",26,180,690,705,626,"R","HOU","3B",0.801,1.015,0.926,0.827,120,167,157,123,94,100,0.903583333333333,0.567567567567568,0.824195945945946,0.018,100,144.916666666667,0.567567567567568,125.493243243243,0.875741743243243,0.839031472972973
"bruceja01",33,103,333,361,617,"L","NYY","1B",0.721,0.784231231231231,0.68,0.831961102106969,83,98.024024024024,88,117.987034035656,101,103,0.731827077077077,0.399098647971958,0.724720170470922,-0.012,101,89.258008008008,0.399098647971958,95.7128855194704,0.713430201215434,0.716023528394878
